longitude,latitude,age_myr,bathymetry_m
-24.75,-29.75,54.125,-5094.5
-24.25,-29.75,50.125,-4838.5
-23.75,-29.75,46.995003,-4732.0
-23.25,-29.75,45.165,-4473.0
-22.75,-29.75,43.21,-4477.0
-22.25,-29.75,41.15,-4496.0
-21.75,-29.75,39.15,-4652.0
-21.25,-29.75,37.260002,-4431.0
-20.75,-29.75,35.45,-4444.0
-20.25,-29.75,33.555,-4478.0
-19.75,-29.75,31.76,-4339.0
-19.25,-29.75,29.755001,-4210.0
-18.75,-29.75,27.869999,-4136.5
-18.25,-29.75,25.785,-4090.0
-17.75,-29.75,23.415,-4057.0
-17.25,-29.75,21.585,-3940.0
-16.75,-29.75,16.81,-3907.0
-16.25,-29.75,13.14,-3702.0
-15.75,-29.75,10.825001,-3727.0
-15.25,-29.75,7.46,-3380.0
-14.75,-29.75,4.99,-3591.0
-14.25,-29.75,2.48,-3246.0
-13.75,-29.75,0.73,-2689.0
-13.25,-29.75,2.85,-3023.0
-12.75,-29.75,5.3500004,-3144.5
-12.25,-29.75,7.62,-3178.0
-11.75,-29.75,10.12,-3479.0
-11.25,-29.75,12.67,-3551.5
-10.75,-29.75,15.059999,-3734.0
-10.25,-29.75,17.13,-3809.0
-9.75,-29.75,19.11,-3875.0
-9.25,-29.75,21.05,-3872.0
-8.75,-29.75,22.59,-3984.0
-8.25,-29.75,24.14,-4076.5
-7.75,-29.75,25.54,-4067.5
-7.25,-29.75,27.105,-4148.5
-6.75,-29.75,28.82,-4177.0
-6.25,-29.75,30.375,-4249.5
-5.75,-29.75,31.984999,-4335.5
-5.25,-29.75,33.72,-4390.0
-4.75,-29.75,35.72,-4369.0
-4.25,-29.75,37.45,-4394.0
-3.75,-29.75,39.14,-4353.0
-3.25,-29.75,40.935,-4482.0
-2.75,-29.75,43.025,-4520.0
-2.25,-29.75,45.835,-4568.0
-1.75,-29.75,49.02,-4592.0
-1.25,-29.75,53.1,-4559.0
-0.75,-29.75,58.43,-4532.0
-0.25,-29.75,63.46,-4556.5
-24.75,-29.25,52.945,-5145.0
-24.25,-29.25,48.835,-4964.5
-23.75,-29.25,46.29,-4811.5
-23.25,-29.25,44.4,-4728.5
-22.75,-29.25,42.364998,-4556.0
-22.25,-29.25,40.065002,-4563.0
-21.75,-29.25,38.275,-4472.5
-21.25,-29.25,36.32,-4461.0
-20.75,-29.25,34.370003,-4444.5
-20.25,-29.25,32.635002,-4389.0
-19.75,-29.25,30.79,-4264.0
-19.25,-29.25,28.98,-4207.0
-18.75,-29.25,27.1,-4188.0
-18.25,-29.25,25.44,-4216.5
-17.75,-29.25,23.445,-4024.0
-17.25,-29.25,21.785,-3867.0
-16.75,-29.25,19.835,-3794.0
-16.25,-29.25,17.6,-3637.0
-15.75,-29.25,15.735001,-3448.5
-15.25,-29.25,13.78,-3619.0
-14.75,-29.25,11.26,-3751.0
-14.25,-29.25,8.15,-3519.0
-13.75,-29.25,2.09,-3128.5
