longitude,latitude,age_myr,bathymetry_m
-144.6505376344086,-49.6551724137931,58.02,-4630.0
-143.95161290322582,-49.6551724137931,57.54,-4648.0
-143.252688172043,-49.6551724137931,56.98,-4503.5
-142.55376344086022,-49.6551724137931,56.46,-4539.0
-141.85483870967744,-49.6551724137931,55.65,-4605.5
-141.15591397849462,-49.6551724137931,53.56,-4612.0
-140.45698924731184,-49.6551724137931,51.63,-4456.5
-139.75806451612902,-49.6551724137931,49.49,-4387.5
-139.05913978494624,-49.6551724137931,47.64,-4539.0
-138.36021505376345,-49.6551724137931,46.2,-4573.5
-137.66129032258064,-49.6551724137931,44.92,-4435.0
-136.96236559139786,-49.6551724137931,44.02,-4534.5
-136.26344086021507,-49.6551724137931,42.57,-4601.0
-135.56451612903226,-49.6551724137931,40.83,-4746.0
-134.86559139784947,-49.6551724137931,39.28,-4764.0
-134.16666666666666,-49.6551724137931,37.77,-4822.0
-133.46774193548387,-49.6551724137931,36.3,-4778.0
-132.7688172043011,-49.6551724137931,34.78,-4661.5
-132.06989247311827,-49.6551724137931,33.32,-4536.0
-131.3709677419355,-49.6551724137931,31.45,-4457.5
-130.6720430107527,-49.6551724137931,29.09,-4447.0
-129.9731182795699,-49.6551724137931,26.72,-4374.0
-129.2741935483871,-49.6551724137931,24.78,-4270.5
-128.57526881720432,-49.6551724137931,23.37,-4158.0
-127.8763440860215,-49.6551724137931,21.86,-4092.5
-127.17741935483872,-49.6551724137931,20.4,-4095.0
-126.47849462365592,-49.6551724137931,18.85,-3996.0
-125.77956989247312,-49.6551724137931,17.22,-3876.0
-125.08064516129033,-49.6551724137931,15.62,-3822.5
-124.38172043010753,-49.6551724137931,14.0,-3746.0
-123.68279569892474,-49.6551724137931,12.33,-3714.0
-122.98387096774194,-49.6551724137931,10.75,-3595.0
-122.28494623655914,-49.6551724137931,9.61,-3428.5
-121.58602150537635,-49.6551724137931,8.36,-3248.5
-120.88709677419355,-49.6551724137931,7.11,-3206.5
-120.18817204301075,-49.6551724137931,5.92,-3261.0
-119.48924731182797,-49.6551724137931,4.68,-3039.0
-118.79032258064517,-49.6551724137931,3.45,-2908.0
-118.09139784946237,-49.6551724137931,2.18,-2837.0
-117.39247311827957,-49.6551724137931,0.91,-2738.0
-116.69354838709677,-49.6551724137931,0.5,-2746.0
-115.99462365591398,-49.6551724137931,1.69,-2881.0
-115.29569892473118,-49.6551724137931,2.84,-3039.0
-114.59677419354838,-49.6551724137931,2.24,-3080.5
-113.8978494623656,-49.6551724137931,0.89,-2740.0
-113.1989247311828,-49.6551724137931,1.31,-2861.5
-112.5,-49.6551724137931,2.25,-2931.0
-111.80107526881721,-49.6551724137931,3.31,-3069.0
-111.10215053763442,-49.6551724137931,4.43,-3188.5
-110.40322580645162,-49.6551724137931,5.56,-3307.5
-109.70430107526883,-49.6551724137931,6.68,-3389.0
-109.00537634408602,-49.6551724137931,7.9,-3509.0
-108.30645161290323,-49.6551724137931,8.97,-3720.5
-107.60752688172043,-49.6551724137931,10.13,-3843.5
-106.90860215053763,-49.6551724137931,11.52,-3903.0
-106.20967741935485,-49.6551724137931,13.0,-3919.0
-105.51075268817205,-49.6551724137931,14.73,-3974.0
-104.81182795698925,-49.6551724137931,16.19,-4033.5
-104.11290322580646,-49.6551724137931,17.64,-4083.5
-103.41397849462365,-49.6551724137931,19.19,-4093.0
-102.71505376344086,-49.6551724137931,20.64,-4164.5
-102.01612903225806,-49.6551724137931,21.98,-4248.0
-101.31720430107526,-49.6551724137931,23.24,-4288.5
-100.61827956989248,-49.6551724137931,24.58,-4274.5
-99.91935483870968,-49.6551724137931,25.86,-4372.5
-99.22043010752688,-49.6551724137931,27.13,-4405.5
-98.5215053763441,-49.6551724137931,28.39,-4328.0
-97.8225806451613,-49.6551724137931,29.65,-4220.0
-97.1236559139785,-49.6551724137931,30.88,-4374.5
-96.42473118279571,-49.6551724137931,32.15,-4549.5
-95.7258064516129,-49.6551724137931,33.29,-4631.0
