longitude,latitude,age_myr,bathymetry_m
-169.25531914893617,-69.25714285714287,72.93,-4070.0
-167.7659574468085,-69.25714285714287,27.6,-4054.0
-166.27659574468086,-69.25714285714287,30.17,-4077.0
-164.7872340425532,-69.25714285714287,34.32,-3933.0
-163.29787234042553,-69.25714285714287,43.29,-3846.0
-161.80851063829786,-69.25714285714287,48.7,-3841.0
-160.31914893617022,-69.25714285714287,50.52,-3939.0
-158.82978723404256,-69.25714285714287,51.48,-3988.0
-157.3404255319149,-69.25714285714287,51.78,-4126.0
-155.85106382978722,-69.25714285714287,51.95,-4237.0
-154.36170212765958,-69.25714285714287,51.9,-4321.0
-152.87234042553192,-69.25714285714287,53.76,-4376.0
-151.38297872340425,-69.25714285714287,54.87,-4391.0
-149.89361702127658,-69.25714285714287,55.75,-4374.0
-148.40425531914894,-69.25714285714287,56.56,-4361.0
-146.91489361702128,-69.25714285714287,57.68,-4353.5
-145.4255319148936,-69.25714285714287,58.48,-4369.0
-143.93617021276594,-69.25714285714287,59.01,-4371.0
-142.4468085106383,-69.25714285714287,59.55,-4358.0
-140.95744680851064,-69.25714285714287,60.1,-4370.0
-139.46808510638297,-69.25714285714287,60.69,-4400.0
-137.9787234042553,-69.25714285714287,61.29,-4413.0
-136.48936170212767,-69.25714285714287,61.91,-4446.0
-135.0,-69.25714285714287,62.57,-4383.0
-133.51063829787233,-69.25714285714287,63.54,-4305.0
-132.02127659574467,-69.25714285714287,64.78,-4141.0
-130.53191489361703,-69.25714285714287,65.82,-3919.0
-129.04255319148936,-69.25714285714287,66.8,-3714.0
-127.5531914893617,-69.25714285714287,68.8,-3676.0
-126.06382978723404,-69.25714285714287,74.04,-3677.0
-124.57446808510639,-69.25714285714287,76.01,-3693.0
-123.08510638297872,-69.25714285714287,76.96,-3687.0
-121.59574468085106,-69.25714285714287,77.9,-3734.0
-120.1063829787234,-69.25714285714287,78.91,-2916.0
-118.61702127659575,-69.25714285714287,79.83,-3212.0
-117.12765957446808,-69.25714285714287,80.96,-3513.0
-115.63829787234042,-69.25714285714287,82.0,-3779.0
-114.14893617021276,-69.25714285714287,83.035,-3983.0
-112.65957446808511,-69.25714285714287,83.78,-3864.0
-111.17021276595744,-69.25714285714287,84.95,-3697.0
-109.68085106382978,-69.25714285714287,85.73,-3872.0
-108.19148936170212,-69.25714285714287,85.67,-3997.0
-106.70212765957447,-69.25714285714287,87.41,-4076.0
-105.2127659574468,-69.25714285714287,88.29,-3992.0
-103.72340425531915,-69.25714285714287,88.0,-4047.0
-102.23404255319149,-69.25714285714287,88.97,-4083.0
-100.74468085106383,-69.25714285714287,89.9,-4185.0
-169.25531914893617,-67.77142857142857,19.18,-3573.0
-167.7659574468085,-67.77142857142857,18.07,-3517.0
-166.27659574468086,-67.77142857142857,20.89,-3648.0
-164.7872340425532,-67.77142857142857,25.13,-3626.0
-163.29787234042553,-67.77142857142857,28.49,-3617.0
-161.80851063829786,-67.77142857142857,31.33,-3703.0
-160.31914893617022,-67.77142857142857,35.02,-3820.0
-158.82978723404256,-67.77142857142857,37.86,-3944.0
-157.3404255319149,-67.77142857142857,36.94,-3989.0
-155.85106382978722,-67.77142857142857,41.425003,-4105.0
-154.36170212765958,-67.77142857142857,43.91,-4177.0
-152.87234042553192,-67.77142857142857,46.48,-4322.0
-151.38297872340425,-67.77142857142857,48.5,-4402.0
-149.89361702127658,-67.77142857142857,49.8,-4332.0
-148.40425531914894,-67.77142857142857,50.61,-4217.0
-146.91489361702128,-67.77142857142857,49.72,-4187.5
-145.4255319148936,-67.77142857142857,50.7,-4285.0
-143.93617021276594,-67.77142857142857,49.68,-4297.0
-142.4468085106383,-67.77142857142857,51.52,-4298.0
-140.95744680851064,-67.77142857142857,52.32,-4283.0
-139.46808510638297,-67.77142857142857,50.25,-4252.0
-137.9787234042553,-67.77142857142857,53.01,-4360.0
-136.48936170212767,-67.77142857142857,55.0,-4418.0
-135.0,-67.77142857142857,56.63,-4472.0
-133.51063829787233,-67.77142857142857,58.18,-4414.0
-132.02127659574467,-67.77142857142857,59.63,-4404.0
-130.53191489361703,-67.77142857142857,60.42,-4274.0
-129.04255319148936,-67.77142857142857,63.28,-4201.0
-127.5531914893617,-67.77142857142857,69.825,-4226.0
-126.06382978723404,-67.77142857142857,71.02,-4149.0
-124.57446808510639,-67.77142857142857,71.9,-4133.0
-123.08510638297872,-67.77142857142857,72.86,-4272.0
-121.59574468085106,-67.77142857142857,73.81,-4298.0
-120.1063829787234,-67.77142857142857,74.78,-4289.0
-118.61702127659575,-67.77142857142857,75.77,-4299.0
-117.12765957446808,-67.77142857142857,76.79,-4270.0
-115.63829787234042,-67.77142857142857,77.79,-4469.0
-114.14893617021276,-67.77142857142857,78.815,-4441.0
-112.65957446808511,-67.77142857142857,79.8,-4295.0
-111.17021276595744,-67.77142857142857,80.26,-4222.0
-109.68085106382978,-67.77142857142857,80.87,-4154.0
-108.19148936170212,-67.77142857142857,79.53,-4327.0
-106.70212765957447,-67.77142857142857,81.71,-4435.0
-105.2127659574468,-67.77142857142857,83.11,-4555.0
-103.72340425531915,-67.77142857142857,84.04,-4554.0
-102.23404255319149,-67.77142857142857,85.27,-4556.0
-100.74468085106383,-67.77142857142857,86.46,-4588.0
-169.25531914893617,-66.28571428571428,9.59,-3221.0
-167.7659574468085,-66.28571428571428,12.15,-3398.0
-166.27659574468086,-66.28571428571428,14.4,-3471.0
-164.7872340425532,-66.28571428571428,12.9,-3547.0
-163.29787234042553,-66.28571428571428,14.98,-3644.0
-161.80851063829786,-66.28571428571428,17.35,-3581.0
-160.31914893617022,-66.28571428571428,19.73,-3868.0
-158.82978723404256,-66.28571428571428,22.67,-3778.0
-157.3404255319149,-66.28571428571428,25.22,-3797.0
-155.85106382978722,-66.28571428571428,27.46,-3958.0
-154.36170212765958,-66.28571428571428,26.55,-4119.0
-152.87234042553192,-66.28571428571428,24.08,-4146.0
-151.38297872340425,-66.28571428571428,26.11,-4159.0
-149.89361702127658,-66.28571428571428,28.36,-4317.0
-148.40425531914894,-66.28571428571428,30.46,-4175.0
-146.91489361702128,-66.28571428571428,32.36,-4161.5
-145.4255319148936,-66.28571428571428,33.53,-4071.0
-143.93617021276594,-66.28571428571428,31.85,-4081.0
-142.4468085106383,-66.28571428571428,34.45,-4034.0
-140.95744680851064,-66.28571428571428,37.88,-4061.0
-139.46808510638297,-66.28571428571428,43.22,-4282.0
-137.9787234042553,-66.28571428571428,48.42,-4376.0
-136.48936170212767,-66.28571428571428,50.84,-4490.0
-135.0,-66.28571428571428,52.42,-4588.0
-133.51063829787233,-66.28571428571428,53.66,-4616.0
-132.02127659574467,-66.28571428571428,52.9,-4639.0
-130.53191489361703,-66.28571428571428,54.15,-4659.0
-129.04255319148936,-66.28571428571428,56.4,-4610.0
-127.5531914893617,-66.28571428571428,62.165,-4598.0
-126.06382978723404,-66.28571428571428,65.01,-4575.0
-124.57446808510639,-66.28571428571428,67.17,-4557.0
-123.08510638297872,-66.28571428571428,68.54,-4596.0
-121.59574468085106,-66.28571428571428,69.47,-4626.0
-120.1063829787234,-66.28571428571428,70.35,-4713.0
-118.61702127659575,-66.28571428571428,71.35,-4785.0
-117.12765957446808,-66.28571428571428,72.34,-4784.0
-115.63829787234042,-66.28571428571428,73.23,-4810.0
-114.14893617021276,-66.28571428571428,70.75,-4833.0
-112.65957446808511,-66.28571428571428,71.32,-4813.0
-111.17021276595744,-66.28571428571428,72.14,-4799.0
-109.68085106382978,-66.28571428571428,74.18,-4688.0
-108.19148936170212,-66.28571428571428,75.58,-4730.0
-106.70212765957447,-66.28571428571428,77.03,-4745.0
-105.2127659574468,-66.28571428571428,78.5,-4843.0
-103.72340425531915,-66.28571428571428,79.92,-4853.0
-102.23404255319149,-66.28571428571428,81.36,-4790.0
-100.74468085106383,-66.28571428571428,82.81,-4799.0
-169.25531914893617,-64.80000000000001,2.23,-2646.0
-167.7659574468085,-64.80000000000001,3.66,-2787.0
-166.27659574468086,-64.80000000000001,5.8,-2890.0
-164.7872340425532,-64.80000000000001,7.85,-3129.0
-163.29787234042553,-64.80000000000001,10.1,-3340.0
-161.80851063829786,-64.80000000000001,12.56,-3551.0
-160.31914893617022,-64.80000000000001,14.18,-3664.0
-158.82978723404256,-64.80000000000001,12.29,-3843.0
-157.3404255319149,-64.80000000000001,12.83,-3693.0
-155.85106382978722,-64.80000000000001,14.915,-3772.0
-154.36170212765958,-64.80000000000001,17.11,-3780.0
-152.87234042553192,-64.80000000000001,19.23,-3877.0
-151.38297872340425,-64.80000000000001,18.34,-3927.0
-149.89361702127658,-64.80000000000001,13.79,-3913.0
-148.40425531914894,-64.80000000000001,16.49,-3986.0
-146.91489361702128,-64.80000000000001,19.38,-3853.0
-145.4255319148936,-64.80000000000001,22.61,-3819.0
-143.93617021276594,-64.80000000000001,25.69,-3703.0
-142.4468085106383,-64.80000000000001,28.42,-4016.0
-140.95744680851064,-64.80000000000001,30.93,-4246.0
-139.46808510638297,-64.80000000000001,33.48,-4267.0
-137.9787234042553,-64.80000000000001,42.23,-4280.0
-136.48936170212767,-64.80000000000001,44.29,-4347.0
-135.0,-64.80000000000001,43.73,-4584.0
-133.51063829787233,-64.80000000000001,48.04,-4649.0
-132.02127659574467,-64.80000000000001,49.49,-4750.0
-130.53191489361703,-64.80000000000001,51.31,-4775.0
-129.04255319148936,-64.80000000000001,53.59,-4768.0
-127.5531914893617,-64.80000000000001,55.79,-4844.0
-126.06382978723404,-64.80000000000001,58.59,-4897.0
-124.57446808510639,-64.80000000000001,60.66,-4907.0
-123.08510638297872,-64.80000000000001,62.45,-4902.0
-121.59574468085106,-64.80000000000001,64.01,-4940.0
-120.1063829787234,-64.80000000000001,65.36,-4972.0
-118.61702127659575,-64.80000000000001,66.41,-4995.0
-117.12765957446808,-64.80000000000001,64.54,-4982.0
-115.63829787234042,-64.80000000000001,64.89,-4953.0
-114.14893617021276,-64.80000000000001,64.03,-4981.0
-112.65957446808511,-64.80000000000001,65.82,-5017.0
-111.17021276595744,-64.80000000000001,67.6,-5023.0
-109.68085106382978,-64.80000000000001,69.43,-5000.0
-108.19148936170212,-64.80000000000001,70.86,-4951.0
-106.70212765957447,-64.80000000000001,72.31,-4958.0
-105.2127659574468,-64.80000000000001,73.75,-4967.0
-103.72340425531915,-64.80000000000001,75.17,-4956.0
